Author,Quote
Daniel Kahneman,"Psychologists really aim to be scientists, white-coat stuff, with elaborate statistics, running experiments."
Meek Mill,"I need, sometimes, individuals to spark an idea so that I can take off running."
Kris Kristofferson,"Everything that I write is sort of autobiographical, and I don't know that I'm getting better, but I'm certainly running out of time."
Christopher Lloyd,"I loved doing Judge Doom in 'Who Framed Roger Rabbit.' I'm constantly running into people who saw that movie when they were kids, and it absolutely horrified them."
Mohamed Al-Fayed,"I have two Filipino nannies who have British passport and not me. I don't need British passport. When you were running around in an animal skin, my ancestors were building the pyramids."
Rickey Henderson,You have to keep running. I always believed I was going to be safe.
Steve Prefontaine,"If he's having a good day and running the right race, nobody can beat Frank Shorter at 10,000 meters... nobody except me."
Phil Knight,"We took advantage of the running boom, which became the jogging boom, which became the fitness boom... and we've benefited from all of that."
Al Pacino,"I've never liked the recognition, the questions, the publicity. I have often felt like running away and hiding."
David Goggins,"It's like a muscle - if you stop going to the gym or stop running, you get weak. The military teaches you these great values, but we don't keep up the discipline on our own, and we lose it. So wherever you go, keep that discipline up."
Paula Yates,"My mother was always in those films where it's the end of the world and a meteor's about to hit London; there's only six people left, and one of them's in purple underwear. That was always my mother, running from this meteor in purple underwear and spraining her ankle."
Mike Huckabee,"One thing governors feel, Democrats and Republicans alike, is that we have a health care system that, if you're on Medicaid, you have unlimited access to health care, at unlimited levels, at no cost. No wonder it's running away."
John Sununu,I'm running for senator because it's time for a change.
Desiderius Erasmus,"Reflection is a flower of the mind, giving out wholesome fragrance; but revelry is the same flower, when rank and running to seed."
Joe Henderson,This act demonstrates graphically a turning away the past and moving ahead. You now get to refresh your time in a friendly way by running with the watch instead of against it or away from it.
Steve Prefontaine,"For me, running against the Poles and Czechs would be like running against high school kids. And I hate all this gung-ho, run-for-the-red-white-and-blue attitude that the AAU spouts. If that's important to some people, fine, more power to 'em. But, damn it, I wish they'd leave me alone to do what I want to do - run against the best."
Conan O'Brien,"During last night's debate, John Kerry and John Edwards were so friendly to each other some political experts think that they may end up running together. In fact Kerry and Edwards were so friendly, President Bush accused them of planning a gay marriage."
Sam Mendes,"Now I'm back home, living in London, running my theater. I just want to enjoy all that."
Robin Williams,"I loved running, but all of a sudden everything hurt so much. I started cycling when Zelda was born."
Kate Gosselin,"The more you run, the faster you get, and that's more efficient because you're running more in less time."
Issey Miyake,"When I close my eyes, I still see things no one should ever experience: a bright red light, the black cloud soon after, people running in every direction trying desperately to escape - I remember it all."
Daniel Radcliffe,"I was in the bath at the time, and my dad came running in and said, 'Guess who they want to play Harry Potter!?' and I started to cry. It was probably the best moment of my life."
Sugar Ray Leonard,"To be the best, you need to spend hours and hours and hours running, hitting the speed bag, lifting weights and focusing on training."
An Wang,"We must not contradict, but instruct him that contradicts us; for a madman is not cured by another running mad also."
Emil Zatopek,My running was very simple; it was out of myself.
Arthur Miller,You cannot catch a child's spirit by running after it; you must stand still and for love it will soon itself return.
Jocko Willink,"When I was running training, we would fire a couple of leaders from every SEAL team because they couldn't lead. And 99.9% of the time, it wasn't a question of their ability - it was a question of their ability to listen."
Nick Foles,"You just want to put the ball in play, whether I want to throw it downfield and it's not there, so I check it down, and it's a productive play and let the running back get a first down. Just keep the chains moving."
Norman Reedus,I'm constantly running away from everything. I'm running away from things on a daily basis. I run away from relationships. I run away from responsibilities.
Ronaldo,I couldn't have got any fatter; I was running out of clothes.
Bruce Willis,"After I did the first Die Hard I said I'd never do another, same after I did the second one and the third. The whole genre was running itself into the ground."
Sam Heughan,"I was doing a tour of the 'Batman' live stage production, and I challenged the cast to join me to run. One time, we were running in Switzerland just before Christmas, and it was heavy snow. Another time, we were running down the Seine in Paris on Christmas Day, and we all had Santa hats on."
Steve Cropper,"My ears won't fool me. Even when I do a session on digital, we still warm it up somewhere in the process, in mastering or mixing, running the signal through some tubes somewhere."
Ella Maillart,"The timelessness of a concept has to be woven into the running warp of dying time, vertical power has to be wedded to the horizontal earth."
Susanna Reid,"Fiona Bruce isn't some token middle-aged woman at the BBC. Alongside her, at 52, my former running partner Sophie Raworth is a familiar face on our screens, with enough energy to run the scorching desert challenge, Marathon des Sables, to celebrate her 50th."
Jeff Bridges,"Technology is such a broad kind of term, it really applies to so many things, from the electric light to running cars on oil. All of these different things can be called technology. I have kind of a love-hate relationship with it, as I expect most people do. With the computer, I spend so many hours sitting in front of a computer."
Barry McGuigan,"I train very hard, either rowing on the cross trainer or running. Not only do you feel tired afterwards but it relaxes you, it completely clears the head. But to sort things out I also like to walk."
Elizabeth Robinson Schwartz,"I was running to catch a train when one of my teachers saw me. He thought I was fast, time me, and later gave me my first instructions in sprinting. I happened to be at the right place at the right time."
Heath Ledger,"Had I listened to my agent, I'd be running around in tights, climbing buildings and stuff."
Peter Morgan,"For a younger generation to imagine a time where there was no security at airports - going around the world in the bar of a jumbo jet, 'Tell the plane to wait, I'm running late!' - there is something very Austin Powers about David Frost, a man who, in all seriousness, would approach women in a safari suit, with sideburns."
Demetri Martin,"The bird, the bee, the running child are all the same to the sliding glass door."
Liz Smith,Gossip is news running ahead of itself in a red satin dress.
Kevin J. Anderson,"In a certain sense, this guy - who is one of the most evil people in the book - he's not really that bad at running the show, because he knows what he's doing, he's smart and he's got the big picture in mind. He's like the Godfather."
Jenson Button,I haven't got the yacht any more. The cost of running it was crazy. But it was so much fun while I had it. I don't regret it.
Emma Stone,"Running is bad for your knees, and I like to do things I actually enjoy, like going for a swim."
Florence Griffith Joyner,"I have been running since I was 7. I was trying to restructure the way my body was made instead of trying to master the way I ran. I would get so frustrated with my starts in practices that I would just cry. When I ran, I wouldn't even try to get out of the blocks, I would just run."
Don Kardong,"Fartlek, or speed play, is variable-pace running that emphasizes creativity. During a 30-minute run, choose objects to run to - telephone poles, trees, buildings, other runners, whatever. Make choices that mark off different distances, so your pickups vary in length from 15 to 90 seconds, and modify your pace to match the distance."
Eric Dickerson,"Playing the running back position, your legs, that's your living, that's how you make your living. You have to have great thighs, knees, everything."
Mary Stuart Masterson,"On the other hand, there are only so many people who really knew how she was exactly, like what did her accent sound like, and the fact that she developed profound deafness when she was first running the Harriet Lane."
Allyson Felix,I have learned that track doesn't define me. My faith defines me. I'm running because I have been blessed with a gift.
Jerry Falwell,The idea that religion and politics don't mix was invented by the Devil to keep Christians from running their own country.
Nicole Polizzi,"Ten years from now, I would like to see myself successful as a brand, like Jessica Simpson, with babies running around and a beautiful husband and my own reality show."
Robert De Niro,"I think Hollywood has a class system. The actors are like the inmates, but the truth is they're running the asylum."
Mary Barra,"The biggest message I have for young women is, Don't start cutting off branches of your career tree unnecessarily early. Sometimes women say, I know I want to have a family or play in the local symphony, and they start pulling themselves out of their career path. You don't have to take yourself out of the running before you even start."
Paul Graham,"Like having a child, running a startup is the sort of experience that's hard to imagine unless you've done it yourself."
Sam Ervin,"I'll have you understand I am running this court, and the law hasn't got a damn thing to do with it!"
Sylvia Plath,"My childhood landscape was not land but the end of the land - the cold, salt, running hills of the Atlantic. I sometimes think my vision of the sea is the clearest thing I own."
Alex D. Linz,"Home Alone was a lot and a lot and a lot of standing and sitting and walking and running and it was physically demanding but in this, I'm doing back flips and riding ostriches. It's physically demanding in a new way, so it's fun."
Mo Farah,I used to get called 'Ferrari' when I was a kid because I was always running everywhere.
Andrew Young,"I was much more comfortable and a much better congressman running in a district that was 37 percent black, where I had to have a white constituency to get elected, than I would have been if I was in a 75 percent black district."
Chris Kattan,You guys are the best. I'll see you in a couple of hours. I haven't seen another human being in 13 hours and I'm running out of bottles for my urine. Later guys!
Peter Snell,Running became boring because it's so predictable. I got to a point where I knew what my competition could do.
Bo Jackson,"My workout was running down fly balls, stealing a base, or running for my life on the football field."
Michael East,It probably won't sink in until I've retired from running but I'm a much better athlete than two years ago.
Bill Burr,My favorite part of podcasting is running my mouth for an hour. The only time I don't like it is when I'm off. Then that hour feels like a day and a half.
Charles Kettering,I object to people running down the future. I am going to live all the rest of my life there.
Karen Duffy,"I still when I wake up hit the ground running; and having an illness, I'm only one of hundreds of thousands of people that live with an illness, and I'm just in awe of the bravery and dignity of the people I see at the hospital."
George H. W. Bush,"Please don't ask me to do that which I've just said I'm not going to do, because you're burning up time. The meter is running through the sand on you, and I am now filibustering."
Lily James,"I trained with Olympics Athlete Jeanette Kwakye - who is amazing! And Shani Anderson, who is an excellent Olympic runner. We trained five times a week; running, circuits, weights, working out in the gym, and on the track. It was an insane time."
Roger Bannister,"You get very tired, and there was a certain amount of pain and you slow up. Your legs are so tired that you are in fact slowing. If you don't keep running, keep your blood circulating, the muscles stop pumping the blood back and you get dizzy."
Peyton Manning,"In my very first NFL game, I completed my first pass to Hall of Fame running back Marshall Faulk."
Douglas Coupland,"Try not thinking of peeling an orange. Try not imagining the juice running down your fingers, the soft inner part of the peel. The smell. Try and you can't. The brain doesn't process negatives."
Paul Krugman,We know that advanced economies with stable governments that borrow in their own currency are capable of running up very high levels of debt without crisis.
Frank Shorter,Because running fast is more fun than running slow.
Emilia Clarke,"One of the first houses we lived in was like out of a fairy story. We had a stream that ran through our garden, and we played with the ducks - we locked them in my mum's office, and they pooed everywhere. It was crazy, picking blackberries and mushrooms, rabbits running through your legs."
Shigeru Miyamoto,"Well, for over a year now at my desk, a prototype program of Luigi and Mario has been running on my monitor. We've been thinking about the game, and it may be something that could work on a completely new game system."
Lou Boudreau,"The shortstop is a perfectly conditioned athlete. You're running out on relays all the time. You're covering second base. On every pitch, you're moving."
Edward Norton,"Anybody who is running a marathon or doing a walkathon, doing a fundraiser for their school, their company, by far it's guaranteed the easiest and most fun way to quickly set up a fundraising campaign and send it around to your friends and family."
Jimmy Kimmel,"There is no way, if I was running ABC, I would have kept me on the air."
Jorge Amado,Night was running ahead of itself.
Joe Henderson,The natural urge when running a distance is to push harder and finish sooner - to race against time. Every second behind a deadline is a little defeat.
Brian Grazer,"I met Edward Teller. Everything he believed in and stood for was antithetical to what I believed in and stood for. I like running into that in life. I like extreme points of view, a level of commitment - and I certainly love mastery."
Ed Balls,"Saddam Hussein was a horrible man, and I am pleased he is no longer running Iraq. But the war was wrong."
Spencer Paysinger,"It doesn't matter if I'm in a boardroom pitching to a group, attempting to perfect the latte heart, or stopping a running back on 4th and 2. If I'm passionate and willing to devote the time and effort to something; I'm unstoppable."
Steve Prefontaine,"What does it prove, running in the AAU meet?"
Tim Cook,"People should have values, so by extension, a company should. And one of the things you do is give back. So how do you give back? We give back through our work in the environment, in running the company on renewable energy. We give back in job creation."
A. J. Foyt,"My dad was very successful running midgets in Texas. Then, his two drivers ran into some bad luck. People started saying that Daddy had lost his touch. That it was the cars and not the drivers. I wanted to race just to prove all those people wrong."
Mickey Mantle,Hitting the ball was easy. Running around the bases was the tough part.
Darren Aronofsky,"I think video games and that stuff should be as violent as possible, but age-appropriate. It should be realistic. When it's not realistic you run into kids running around shooting people and not realizing the consequences."
Ben Horowitz,The big value of the founder running the company is really two things: the knowledge and the commitment.
Kyrsten Sinema,"I think what endurance sports teach you is to stay dedicated, stay focused, and also to understand you're going to have ups and downs, but you need to keep running right through them."
Karl Pilkington,"I sometimes wonder how we're short of cod. There's gonna be a load deep down that are hiding. But it's a good reason to put the price up, and it means a load of people will have haddock. They should tell people they're running out of all sorts. Make 'em panic a bit."
Willa Cather,"What was any art but a mould in which to imprison for a moment the shining elusive element which is life itself - life hurrying past us and running away, too strong to stop, too sweet to lose."
Stewart Butterfield,"For the first five years of my life, I grew up in a log cabin in coastal British Columbia in a very small town, like 300 people, mostly hippies. No running water, no electricity. When I was 12, I changed my name from Dharma to Stewart. At that age, you just want to be normal."
Richard Simmons,"When I was growing up, I did not exercise at all. I was raised in the French Quarter in New Orleans. If I saw someone running, I would call the police because I thought they stole something on Royal Street."
Ted Lieu,"Trump bragged about hiring only the 'best people' when he was running for president. We're seeing, time and again, the opposite. It's unclear whether the president's definition of 'best people' is different than ours, or if the 'best people' simply aren't interested in working for him."
Anthony Edwards,I didn't start jogging or running until I was 37 years old. It was something that really helped me change my life.
Jack Black,"When you think about rock at its origin, and you think of the Beatles and millions of kids screaming as loud as they can and running as fast as they can towards the Beatles, there's no one who is that kind of lightning rod, who commands that kind of power and has that kind of creative magma."
Roseanne Barr,"My hope is that gays will be running the world, because then there would be no war. Just a greater emphasis on military apparel."
Barack Obama,"Now, anybody who thinks that we can move this economy forward with just a few folks at the top doing well, hoping that it's going to trickle down to working people who are running faster and faster just to keep up, you'll never see it."
Milkha Singh,"Yes, I started by running barefoot. My feet used to slip in canvas shoes. So we put them aside and ran barefoot."
Michelle Wolf,"I'm very quiet off stage. I think I'm a pretty boring person. I'm not super talkative; I spend a lot of my time running and zoning out. I spend so much time trying to write jokes and 'be on,' so when I'm finally off stage, I just want to sit."
Niki Lauda,Running an airline is a normal job. Racing is more.
A. R. Rahman,"I think music, in my opinion, is not about motivation in the way it's - it's not a running base. It's art. And my whole philosophy of music is different. It's almost like cooking and serving to people, seeing them smile and enjoying the food, really."
Douglas Horton,"When my horse is running good, I don't stop to give him sugar."
Colin Egglesfield,The best thing about running is that you can eat a lot and still feel OK.
Elle Fanning,"When I do a movie, that's just a couple months out of my year and out of my life. All the other months I'm just at home, running around doing errands with my mom and going to sleepovers. I feel like I have that side of my life, and then I also do the films - which is just sort of a plus."
Eric Trump,"People think we're only into big buildings, but iconic houses have always been the real interest. We own 11 of the world's top hotels and all the support services needed to keep them running. Trump properties have to be the best - clubs, hotels, houses."
Walter Payton,Running alone is the toughest. You get to the point where you have to keep pushing yourself.
Dean Kamen,My biggest worry is I'm running out of time and energy. Thirty years ago I thought 10 years was a really long time.
Katie Couric,"But of course when people watch morning television, Terry, it's a very different animal. You know, they're running around, they're getting their kids ready for school, they're probably doing eight million things, they're brushing their teeth."
Annie Jacobsen,"With stealth technology, the U.S. could spy on its Cold War adversaries without running the risk of getting caught."
Sting,"When the world is running down, you make the best of what's still around."
Vijay Antony,"Even if I was running an idli shop for a living, I know that my idlis will taste good because that's how highly I rate my work ethic."
Michael Owen,I've got no hamstring in the middle. I'm basically running on two hamstrings on my right leg and three on the other. That injury has probably changed my whole career. I've been compromised from the age of 19.
Elon Musk,"A utility can handle up to 20% of production from solar and that helps the grid because it produces electricity when needed. Solar power peaks in the middle of the day and that's also when air conditioning is running and businesses are operating, so power production matches usage."
Alden Ehrenreich,"With 'Running Scared,' I originally wanted to do a piece that was going to be about a couple, and the whole thing would be based on wall posts on Facebook. So the idea started there."
Zola Budd,I found them uncomfortable and after that I decided to continue running barefoot because I found it more comfortable. I felt more in touch with what was happening - I could actually feel the track.
Elizabeth Bishop,"All my life I have lived and behaved very much like the sandpiper - just running down the edges of different countries and continents, 'looking for something'."
Martin Cooper,The optimum telephone is one that I think some day is gonna be embedded behind your ear. It's gonna have an extraordinarily powerful computer running the cell phone.
Aaron Judge,"Defensively, hitting-wise, running the bases. There's always room to improve. That motivates me to get a little better every day."
John Glenn,"Quite often, while I'm getting up in the morning, I think my warranty is running out on these body parts because it's not working quite the way it used to."
Daryl Hannah,"Obviously we're a consumer nation and you have the power to influence these big corporations who are running the world right now through what you chose to, or not to, purchase."
P. J. O'Rourke,"The problem in Afghanistan is really not so much land as water. It's a dry country with ample amounts of water running through it, but not to good enough effect."
Charlie Munger,"I love when I think we're taking territory - if it makes sense in the long term, we just don't give a damn what it looks like in the short term. After all, we're running a cult, not a normal company."
Thich Nhat Hanh,"We are looking for happiness and running after it in such a way that creates anger, fear and discrimination. So when you attend a retreat, you have a chance to look at the deep roots of this pollution of the collective energy that is unwholesome."
Florence Pugh,"I do like a bit of danger. Guns, cars, running, bullets. I'm up for it."
Chris Pratt,Being in good physical shape is the best way to combat depression. You just have endorphins running around your body. It is the best anti-depressive that there is.
Shemar Moore,I loved running. I can catch everything in the outfield. I could throw people out from the fence.
Herman Cain,"My motivation for running for Senate was not for the stature of being a senator, but because I wanted to make a difference on issues I feel passionate about."
Sunil Gangopadhyay,"One can tell or do whatever one wants when one is in the Opposition but once one is running a state, one cannot do that."
Rupert Murdoch,"Money is not the motivating force. It's nice to have money, but I don't live high. What I enjoy is running the business."
Bubba Wallace,"It all relies on teamwork. We could be running fifth all day, and we come down pit road for the last stop and the pit crew messes up, then we all go down and not just them."
Edwin Moses,When I first started running there were no computers. There was no such thing as a laptop.
Jack Welch,"The 1980s will seem like a walk in the park when compared to new global challenges, where annual productivity increases of 6% may not be enough. A combination of software, brains, and running harder will be needed to bring that percentage up to 8% or 9%."
Don Kardong,"Sure, the first light snowfall may be a chance to dance giddily, leaving squeaky footprints through the neighborhood, marking the runner's right to the domain. But later drubbings of snow merely complicate running. Snow turns to ice, to slush, to ice again. Tire ruts twist ankles. New snow hides the hazards."
Christopher McDougall,"I received the best advice for running I ever heard: 'You're not going to win, so just relax. If it feels like work, you're running too hard.'"
Fabrizio Moreira,"The study titled 'Impact of Immigration on Wages, by Education Level, 1994-2007' found that increased immigration had an effect of lowering wages for earlier immigrants by an average of 4.6 percent. Running counter to popular perception is the finding that for native-born Americans, wages actually increased by 0.6 percent."
Jack Reynor,"When I was a kid, I used to pretend I was Han Solo all the time. Running around with my fingers pretending they were a blaster."
Patricia Heaton,"Men are very competent in their workplace - and this is going to sound sexist - women are better at running households and juggling lots of things, kids and scheduling and that kind of thing."
William Hazlitt,"The mind of man is like a clock that is always running down, and requires to be constantly wound up."
Ken Robinson,"If you're running an engineering or finance company, all companies depend on ideas and ingenuity. I think the principles of creative leadership apply everywhere, whether it's an advertising company or whether you're running a hospital."
Dogen,The color of the mountains is Buddha's body; the sound of running water is his great speech.
Ban Ki-moon,Cities can be the engine of social equity and economic opportunity. They can help us reduce our carbon footprint and protect the global environment. That is why it is so important that we work together to build the capacity of mayors and all those concerned in planning and running sustainable cities.
Joe Moore,"You can't trust a promise someone makes while they're drunk, in love, hungry, or running for office."
Bill Watterson,Shutting off the thought process is not rejuvenating; the mind is like a car battery - it recharges by running.
Davante Adams,"When you're running a route, timing is everything. You have an internal clock - a timer that goes off in your mind that tells you that you need to be ready for the ball - and you have to get to your spot on time."
Don Bluth,"The marketing department is really an important part of getting an animated film to work. If the people running it are used to selling live action films and the hard rock music and the sex and all those things... Anything outside that, they just don't know what to do with it."
Andy Gibb,Girls are always running through my mind. They don't dare walk.
Jesse Jackson,"You know, people'd always ask 'Why is Jesse Jackson running for the White House?' They never seen the house I'm running from."
Rachael Ray,"I started running 3 miles every morning after throat surgery to remove a cyst last year. The gym used to be my adversary. But that has all changed. Now, I look forward to it every morning."
Red Barber,Running like a bunny with his tail on fire.
Denise Lewis,"When I was running as an athlete, I'd be looking at my heart rate, monitoring when it started to peak, when it plateaued. I'd make a note of the oxygen debt in my body and would always be working to a specific time."
Christiane Amanpour,"Yes, you are running businesses, and yes, we understand and accept that, but surely there must be a level beyond which profit from news is simply indecent."
Robert Pattinson,"If it's just screaming - and I know this sounds so ridiculous - that gets old. But sometimes when there's literal chaos, it's like being in a war zone, and that's kind of exciting. You're just running through the crowd of people chasing after you and no one knows what's going on."
Ruby Bridges,"I remember what it was like at age 6, not really understanding what was going on around me, but having all these grown-up thoughts running through my head about what I was facing, why this was happening."
John Hickenlooper,I would argue that's because we had a bunch of smart people running around here. They were coming in and working very hard and many of them had left jobs in which they made significantly more money.
Jay Parini,"To bolster his right flank and attract women voters, John McCain had cynically opted for a running mate who was, by any stretch of the imagination, unqualified for a position a heartbeat away from the presidency."
Saul David,"There were about 30 children at one stage, running around like savages at a place called Callow Hill, near Monmouth, which was owned by my grandparents. They lived in the big house, but my dad had five brothers and a sister, and they all lived in various houses scattered on the hill."
Michail Antonio,"I had trials with QPR where I won all the running drills and after playing a match, I was told that whatever I did would determine if I got scouted. I scored and assisted one, only to be told I didn't put enough crosses in. So I didn't get signed."
Slash,"And, as soon as I could put together the, you know, three or four notes that made up, like, sort of a rock and roll lick, you know, like a Chuck Berry kind of thing, I was off and running. Just completely taken over."
Bear Grylls,I think it's fun running with dogs. They're always so fit and fast.
Farah Khan,"In 'Purab Aur Paschim,' there's one of the nicer patriotic scenes which is patriotic without going jingoistic. There's a scene set in a rotating restaurant, where Pran, who has left India, is completely running India down and Manoj Kumar is taking up for India. And there's that song 'Jab Zero Diya.'"
Natalia Kills,I'm sick of running away from things.
Rand Paul,"The government can't even do a good job of something as simple as running the Post Office. How can it be expected to do a good job with something really important, like educating our children?"
Benny Hinn,You are a little god on earth running around.
Larry Bird,"I used to love the feeling of running, of running too far. It made my skin tingle."
Abi Morgan,I am always running away from something.
Matthew Perry,"My sense of style is an old Polo shirt, jeans and, unfortunately for the longest time, white running shoes, which was not attractive. The one thing I've learned about clothes is to ask a girl."
Amanda Gorman,"This is a long, long, faraway goal, but 2036 I am running for office to be president of the United States. So you can put that in your iCloud calendar."
Trinny Woodall,"Shorts are practically a uniform in every woman's closet. Tailored shorts are okay for running around, and if you're 18, you can get away with cut-offs. But it's very easy to make a mistake with shorts."
Wilma Rudolph,"They would say, 'If you run around too much as a girl, you'll never be able to have children.' The running was supposed to be too much strain for your body, and your body would never be the same again."
Harry Styles,"Ages ago, my girlfriend had this little park near her house, with a bridge running over a stream... and I set up all these candles on the bridge. But when I called her and told her she said it was too dark and she wasn't coming out."
Jay Leno,"I was in the ROTC. Of course, ROTC stood for 'Running off to Canada.'"
Courtney Eaton,"It is such a great opportunity to be the face of a brand which I remember wearing as a little kid and running around in half-naked. Bonds is now getting very serious about fitness, and their range is amazing. It's beautiful and comfy."
Michael Weatherly,"I started running around my 30th birthday. I wanted to lose weight; I didn't anticipate the serenity. Being in motion, suddenly my body was busy and so my head could work out some issues I had swept under a carpet of wine and cheese. Good therapy, that's a good run."
Alexandria Ocasio-Cortez,It's not just that I'm a woman of color running for office. It's the way that I ran. It's the way that my identity formed my methods.
Ben Kingsley,"There is so much to do on a film set. It is an extraordinarily invigorating and wonderful place to be, when things are running well."
Seth Meyers,"Donald Trump has been saying that he will run for president as a Republican, which is surprising since I just assumed he was running as a joke."
Christopher Eccleston,Lots of middle class people are running around pretending to be Cockney.
Ralph Steadman,"Governments are not running the show anymore. Scumbag Entrepreneurs are, and they have a harsh and ruthless agenda."
Jack Monroe,"But I know that trying to black out my past with oblivion will just damage my future. I made the decision to stop running from my fears, and to walk slowly and deliberately towards self-nurture, self-respect, and better mental and physical health."
Sienna Miller,"I would often find myself, at the age of 21, at midnight, running down a dark street on my own with 10 men chasing me. And the fact they had cameras in their hands made that legal."
LaVar Ball,"I was 270 lbs with a 48-inch vertical, benching 500 pounds, running a 4.5, 4.6."
Pamela Anderson,"I started running, and I hated it. Of course, everyone hates running for the first mile. If you're running two miles or twenty miles, it always hurts. Now I live it. I look forward to it. It's really good. It clears my head."
Xenophon,"A Persian army being then subject to great inconveniences, for their horses are tied and generally shackled to prevent them from running away, and if an alarm happens, a Persian has the housing to fix, his horse to bridle, and his corslet to put on before he can mount."
Summer Sanders,"I have so much to learn when it comes to running. I just don't ever want it to feel like a chore. When I choose to sign up for a race or go out for a run, it's to make myself feel good, and I almost always do."
Anne McClain,"I tell you what, if you live in Spokane, I hope you wake up every day and you're thankful for the weather, for the trees, for the colors, for the greenery, for cars that stop when you're running and you go to cross the road and they stop. I love it."
Adlai Stevenson II,"The Republicans have a me too candidate running on a yes but platform, advised by a has been staff."
Michelle MacLaren,"I did every odd job you could possibly imagine: Holding a sign in the rain for 14 hours straight, sweeping up cigarette butts, pouring coffee, running around - anything I could to be on a film set. I wanted to be in the business. So I'd say, 'You need that job done? Fine,' and I became indispensable to people."
Peter Criss,"It's a younger generation running the show, and I miss the generation we had in the '70s. They were really very honorable guys, like Neal Bogart and Bill Graham, people who will never be around again."
Garrett Hedlund,"I've always had a longstanding dream, ever since I was a kid, where I was running on a big lake of ice and I kept running and kept running, just about to where I was trying to get to, and I fell through the ice, and then I couldn't find the hole where I fell through to get back out again."
Flea,Running opened up something beautiful in my life. I try to send the energy all over my body. I love the feeling of it.
Mitch McConnell,"For four years, Barack Obama has been running from the nation's problems. He hasn't been working to earn reelection. He's been working to earn a spot on the PGA tour."
Maryse Mizanin,I am a natural beauty. I can wear sweatpants and running shoes and I stop traffic on the street - people have accidents when they drive and they spot me.
Sadiq Khan,"I used to do stand-up, actually. I had a ten-minute routine I did for a thing called 'Stand Up for Labour' where we'd go around different seats and use comedy to raise money. I stopped doing this routine when I started running for mayor."
Elliott Abrams,"Obviously, every dictator pays a great deal of attention to who is running the army. There's always a base right outside the capitol to protect the head of government."
Jim Brown,"Nobody I ever broke bread with, and I see players all the time, talked about using their head running the football."
Baba Kalyani,"Everywhere in the world, whether manufacturing, trade or whatever, it is controlled by one apparatus and one policy perspective. Here we have one prime minister with good intentions, and six ministries running their own empires. This creates problems including the import culture."
Charlie Brooker,"I remember when I realised, as a child, 'That stuff on the TV about nuclear bombs is real! Why isn't everyone running around shouting 'Aaarrgghh'? Why are people still buying bicycle clips?'"
Mark Russell,"Humor is very very risky, particularly for a candidate, unless he's been in so long that it just doesn't matter, and he's not running for president. But it's just that people are so sensitive and so touchy, and you're just going to upset somebody without ever realizing it."
Markus Persson,"Specifically, my favorite tool in Java is hot code swapping in debug mode, meaning I can edit the code while the game is running and immediately see the results in the running game. This is super great for rapid tweaking."
Christian McCaffrey,"I really try to pride myself on route running, catching and being able to be a mismatch anywhere on the field."
Flea,"When I got with Nina Greenberg, I had been running for a few months already without a trainer. But then she gave me a program and guided me through my runs, showing me how to take care of myself and letting me know I should ice my legs and stretch - stuff I hadn't been doing."
Ryan Kwanten,"I'm somewhat of a masochist at heart. I like to sweat. I come from a very competitive sporting background - my dad was a world-champion surfer - so it's always been a part of my DNA. I do a lot of soft-sand running, hiking, yoga, and boxing, and I compete in triathlons."
Lisa Snowdon,"Sex keeps me in shape. I don't diet, I eat what I like. I love Mars bars and I smoke and drink. But I love running off in the middle of the day to make love. It really burns up calories."
Shaun Alexander,"Without bragging, I've been blessed to have five of the greatest statistical years for a running back."
Billy Crystal,"Since I got into the movies, 'Running Scared,' that did $40 million. 'Princess Bride,' I got good reviews for the character Miracle Max. 'Memories of Me' didn't do well. 'Throw Mama from the Train' did $70 million. 'Harry and Sally' did 95 or 96. 'City Slickers' did $120 million."
Haruki Murakami,"I began running on an everyday basis after I became a writer. As being a writer requires sitting at a desk for hours a day, without getting some exercise you'd quickly get out of shape and gain weight, I figured."
Flea,"I feel like if we're not running, we're basically disrespecting our bodies. When you're running, you're really using your body for what it's meant to do."
Dean Karnazes,"Running is a simple, primitive act, and therein lays its power. For it is one of the few commonalities left between us as a human race."
Canelo Alvarez,"When I go running, I see Mexicans working hard."
Adrian Lester,"I loved 'Doomsday' because I got a chance to do a bit of action, a bit of running and jumping, kicking the bad guys around."
Flea,"After running for a while, things really start to open up in your body. I felt like I'd tapped into parts of my body that I hadn't before. I let things in the universe flow through me that opened me up in a really cool way."
Jhumpa Lahiri,"He told me he was working as an interpreter in a doctor's office in Brookline, Massachusetts, where I was living at the time, and he was translating for a doctor who had a number of Russian patients. On my way home, after running into him, I just heard this phrase in my head."
Calvin Harris,"Right at the start, when I was about 13 or 14, I only had an Amiga 500 Plus running a bit of tracker software called OctaMED. My brother was big into his computers, and when he moved up to a proper PC, I took charge of the Amiga."
Gil Scott-Heron,"If you aren't having no fun, die, because you're running a worthless program, far as I'm concerned."
Akon,"What I remember the most really was just running wild there. Barefooted, swimming in dirty lakes, selling fruit, picking mango trees, hoping not to get caught because they don't take kindly to thieves in Africa."
Herbert A. Simon,"In the computer field, the moment of truth is a running program; all else is prophecy."
David Costabile,"If you get to the point in your career where you're running with a gun - I've yet to run with a gun. I've stood still with a gun, and I've walked with a gun, but I've never run with a gun. Running with a gun, to me, that's when you know you've really made it."
George Clooney,"Honestly, as you can imagine, it really isn't all that fun directing yourself, running back and forth to the monitors to see if you're terrible or not."
